date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:20:55	10114/10114	---M--	200	added ('OK')	image/webp	date:Tue,%2019%20Aug%202025%2006:53:58%20GMT	https://oxfordschoolofenglish.in/banners/banner-images/home/mobile/all-courses-m.webp	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/banners/banner-images/home/mobile/all-courses-m.webp	(from https://oxfordschoolofenglish.in/)
22:20:55	39576/39576	---M--	200	added ('OK')	image/webp	date:Tue,%2019%20Aug%202025%2006:53:58%20GMT	https://oxfordschoolofenglish.in/banners/banner-images/home/desktop/all-courses.webp	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/banners/banner-images/home/desktop/all-courses.webp	(from https://oxfordschoolofenglish.in/)
22:20:55	3526/3526	---M--	200	added ('OK')	image/webp	date:Tue,%2019%20Aug%202025%2006:53:56%20GMT	https://oxfordschoolofenglish.in/assets/more-images/1-google-rating.webp	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/assets/more-images/1-google-rating.webp	(from https://oxfordschoolofenglish.in/)
22:20:56	58016/58016	---M--	200	added ('OK')	image/webp	date:Tue,%2019%20Aug%202025%2006:53:52%20GMT	https://oxfordschoolofenglish.in/assets/11-review/video-reviews.webp	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/assets/11-review/video-reviews.webp	(from https://oxfordschoolofenglish.in/)
22:20:56	66482/66482	---M--	200	added ('OK')	image/webp	date:Tue,%2019%20Aug%202025%2006:53:52%20GMT	https://oxfordschoolofenglish.in/assets/11-review/fun-activities.webp	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/assets/11-review/fun-activities.webp	(from https://oxfordschoolofenglish.in/)
22:20:57	1954045/1954045	---M--	200	added ('OK')	application/pdf	date:Tue,%2019%20Aug%202025%2006:53:52%20GMT	https://oxfordschoolofenglish.in/assets/oxford-english-brochure.pdf	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/assets/oxford-english-brochure.pdf	(from https://oxfordschoolofenglish.in/)
22:20:57	37660/37660	---M--	200	added ('OK')	image/webp	date:Tue,%2019%20Aug%202025%2006:53:52%20GMT	https://oxfordschoolofenglish.in/assets/19-video-review/ganjeena-video-review.webp	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/assets/19-video-review/ganjeena-video-review.webp	(from https://oxfordschoolofenglish.in/)
22:20:57	42626/42626	---M--	200	added ('OK')	image/webp	date:Tue,%2019%20Aug%202025%2006:53:52%20GMT	https://oxfordschoolofenglish.in/assets/19-video-review/jaspreet-video-review.webp	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/assets/19-video-review/jaspreet-video-review.webp	(from https://oxfordschoolofenglish.in/)
22:20:58	53666/53666	---M--	200	added ('OK')	image/webp	date:Tue,%2019%20Aug%202025%2006:53:52%20GMT	https://oxfordschoolofenglish.in/assets/19-video-review/sarpreet-video-review.webp	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/assets/19-video-review/sarpreet-video-review.webp	(from https://oxfordschoolofenglish.in/)
22:20:58	57714/57714	---M--	200	added ('OK')	image/webp	date:Tue,%2019%20Aug%202025%2006:53:52%20GMT	https://oxfordschoolofenglish.in/assets/19-video-review/kanika-video-review.webp	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/assets/19-video-review/kanika-video-review.webp	(from https://oxfordschoolofenglish.in/)
22:20:58	35246/35246	---M--	200	added ('OK')	image/webp	date:Tue,%2019%20Aug%202025%2006:53:52%20GMT	https://oxfordschoolofenglish.in/assets/19-video-review/deepak-video-review.webp	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/assets/19-video-review/deepak-video-review.webp	(from https://oxfordschoolofenglish.in/)
22:20:58	56130/56130	---M--	200	added ('OK')	image/webp	date:Tue,%2019%20Aug%202025%2006:53:52%20GMT	https://oxfordschoolofenglish.in/assets/19-video-review/anchal-video-review.webp	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/assets/19-video-review/anchal-video-review.webp	(from https://oxfordschoolofenglish.in/)
22:20:59	37818/37818	---M--	200	added ('OK')	image/webp	date:Tue,%2019%20Aug%202025%2006:53:52%20GMT	https://oxfordschoolofenglish.in/assets/19-video-review/geetika-video-review.webp	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/assets/19-video-review/geetika-video-review.webp	(from https://oxfordschoolofenglish.in/)
22:20:59	40764/40764	---M--	200	added ('OK')	image/webp	date:Tue,%2019%20Aug%202025%2006:53:52%20GMT	https://oxfordschoolofenglish.in/assets/19-video-review/mukund-video-review.webp	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/assets/19-video-review/mukund-video-review.webp	(from https://oxfordschoolofenglish.in/)
22:20:59	44104/44104	---M--	200	added ('OK')	image/webp	date:Tue,%2019%20Aug%202025%2006:53:52%20GMT	https://oxfordschoolofenglish.in/assets/19-video-review/isha-video-review.webp	C:/Users/Lenovo/Desktop/english/english/oxfordschoolofenglish.in/assets/19-video-review/isha-video-review.webp	(from https://oxfordschoolofenglish.in/)
